wav_filename,wav_filesize,transcript
/opt/shared_data/cpm_wav_cut/2014090216581712_0063.wav,307244,který třeba kteří mohli být obeťou
/opt/shared_data/cpm_wav_cut/2014050708580912_0007.wav,3408044,děkuji vám hlasování pořadové číslo osmdesát jedna z přítomných sto čtyřiceti pěti pro sto tři návrh byl přijat bod číslo padesát jedna bude druhým bodem než ho jednání nyní rozhodneme o přeřazení z bloku třetích čtení bodu číslo padesát dva a za něj zařazení bodu číslo patnáct na středu čtrnáctého pátý jako první a druhý bod rozhodneme hlasování pořadové číslo osmdesát dva které jsem zajat dám se kdo je pro tento návrh
/opt/shared_data/cpm_wav_cut/2014062009180932_0010.wav,147884,kdo je proti
/opt/shared_data/cpm_wav_cut/2014051509180932_0012.wav,602924,oni prostě hledali způsoby jak dosáhnout svého nikoli způsoby jak si zdůvodnit že kauzu jen sledují
/opt/shared_data/cpm_wav_cut/2014020414481502_0028.wav,1994924,normálním procesem i dopisem ministra na radu vysokých škol a na českou konferenci rektorů k vyjádření to byla zásadní připomínka vysokých škol jejich zásadní připomínka nebyla jistou proti tomu že by jmenoval profesory předseda senátu ale že to předložila vláda bez legitimity a že obešla vysokoškolský zákon
/opt/shared_data/cpm_wav_cut/2014091018081822_0020.wav,217004,sankcích jako takových
/opt/shared_data/cpm_wav_cut/2014061909380952_0014.wav,687404,aniž by tomu bylo dodáno co konkrétního jako ministr české vlády pro to už není rozumná a moudrá odpověď a k tomu
/opt/shared_data/cpm_wav_cut/2014092319482002_0037.wav,286124,s chutí do toho paní poslankyně má slovo prosím
/opt/shared_data/cpm_wav_cut/2014031912281242_0016.wav,1011884,my přece ve tedy liště i roky a že se nepamatuju a vracel mých rodičů mi to ani předseda známe přesně ty slova tady teď opakují zvací dopis
/opt/shared_data/cpm_wav_cut/2014061311081122_0062.wav,597164,pro podporu finanční ústavy a pro podporu všech návrhů státních rozpočtů
/opt/shared_data/cpm_wav_cut/2014092414381452_0072.wav,121004,nemá proto logiku
/opt/shared_data/cpm_wav_cut/2014021411281142_0005.wav,9356204,a ti do působnosti nového zákona obě o kybernetické bezpečnosti zřejmě spadat nebudou tolik a poznámek zákonů doporučuji postoupit do druhého čtení a děkuji za pozornost děkuji panu poslanci seďovi z další řádnou přihláškou se přihlásil pan poslanec bohuslav chalupa prosím pane poslanče máte slov vážený pane předsedající vážená vládo vážené kolegyně kolegové já samozřejmě souhlasím s tím co tady padlo od předřečníků těm nedohodne souhlasit nicméně si myslím že vzhledem ke komunikaci která trvá už minimálně co potěšením poslaneckých lavicích váže měsíce myslím je myslím si protože jsem i místopředsedou výboru pro bránu že ta diskuze je velice intenzivní a o těch problémech které tady byly v podstatě specifikovány víme jak my tak to vidí národní bezpečnostní úřad a ty věci se budou řešit v podstatě v rámci připomínek v rámci druhého čtení pokud jde o obecné věci týkající se kybernetické bezpečnosti v podstatě po obklopuje nás fyzických svět který je nějakým způsobem definován právně ekonomicky kulturně a tak dále a tak jsou s tím problémy a v podstatě jedna dvacátého století kupujeme do jakého si světa který bude který nemá omezení vizi fyzikálně termická daná fyzikální tenký mi vlastnostmi materiálů a tak dále de to je to klubové prostředí je to prostředí v podstatě které nemá žádné omezení
/opt/shared_data/cpm_wav_cut/2014090215181532_0029.wav,1486124,s tím jediným rozdílem že občas se změnou vlády či dokonce jenom se změnou ministra se do této politické šlechty nalije čerstvý beton
/opt/shared_data/cpm_wav_cut/2014020710081022_0017.wav,4049324,i argumenty které v to svědčí samozřejmě mohou být zpochybňovány já jsem se rozhodl že pro z důvodu předběžné opatrnosti protože dnes je poslední příležitost podat pozměňovací návrh tento návrh podám přihlásím se k němu a zároveň s ohledem na zatím předběžná negativní stanoviska jak se milionová ministerstva vnitra i spravedlnosti budeme o tomto návrhu jednat a bude do doby hlasování ve třetím čtení vyjasněno zda tento návrh by měl být přijat zda má oporu anebo naopak by přijat být neměl já se samozřejmě stanoviskům
/opt/shared_data/cpm_wav_cut/2014072409380952_0006.wav,424364,prosím tedy ve jménu drtivé většiny občanů české republiky
/opt/shared_data/cpm_wav_cut/2014061715381552_0014.wav,629804,zvolit rozumí postup a já si myslím že ten návrh který dával pan kolega okleštěk hlediska zákazu
/opt/shared_data/cpm_wav_cut/2014061816381652_0029.wav,161324,a bude dámy a pánové
/opt/shared_data/cpm_wav_cut/2014061809080922_0037.wav,2588204,tu běžnou každodenní práci která vidět není která spočívá ve vyšších kontrolách exekučních úřadů která spočívá v přípravě zákonů která samozřejmě obsahuje i takové drobnosti jako nastartování vězeňské reformy kterou vy tady budete hodnotit že to ve skutečnosti není ta a je formát vy byste se třeba představovali ale ten dav č resortu nese svoji odpovědnost
/opt/shared_data/cpm_wav_cut/2014092317481802_0052.wav,480044,a nebojíme se mluvit a účtovat naši práci přímo veřejně
/opt/shared_data/cpm_wav_cut/2014061718081822_0033.wav,1791404,podle zákona jsme se k politicky angažované osoby něco takového vy ve tendovány jako poslanci politické porovná děkuji se kolegyni že se do banky a budete chtít vložit vložit vyšší obnos tak té bance vyskočí jste politicky exponovaná osoba budou trapná jestli ty peníze zdali a počet je tolik
/opt/shared_data/cpm_wav_cut/2014020420382052_0010.wav,132524,a jestli se tady
/opt/shared_data/cpm_wav_cut/2013112720582112_0046.wav,720044,aby systém byl ufinancovatelný a zároveň kvalitní moderní efektivní jak to jak to všichni jistě chceme
/opt/shared_data/cpm_wav_cut/2013121617481802_0006.wav,2029484,to je první přišel z nákazami fondem a začal otáčet režim podpory živočišné výroby my jsme pokračovali v tomto materiálu to je je to správně a tam řada velká řada nesmyslů pro které bohužel výbor jak a nehlasoval ale miliarda to výrok by se dal tesat miliarda jsou velké peníze
/opt/shared_data/cpm_wav_cut/2014032612381252_0005.wav,952364,je to hlasování číslo sto osmnáct přihlášeno sto osmdesát tři poslankyně poslanců prostě padesát pět proti žádný konstatuji že sněmovna schválila tajnou volbu
/opt/shared_data/cpm_wav_cut/2014050712081222_0041.wav,1370924,jestliže tomu tak není končím podrobnou rozpravu a ptám se pana ministra případně pana zpravodaje s mají zájem o závěrečné slovo nemají zájem tím pádem s tím končím druhé čtení tohoto návrhu děkuji panu zpravodaji i panu ministrovi
/opt/shared_data/cpm_wav_cut/2014061016381652_0030.wav,1230764,nebo zda bude úplně běžná v legislativním procesu že nám tady přistanou na sto dvě různé dílčí novely zákona o spotřební daně
/opt/shared_data/cpm_wav_cut/2013121615381552_0032.wav,2630444,do tato toto zvýšení vyšlo návrhu za prvé ministerstvo zemědělství kde je s původním návrhu tři sta původním návrhu padesát dva miliard při sta sedmdesát tři milionů sto devadesát osm tisíc pro čtrnáct korun snížení o dvě stě padesát milionů na padesát do miliard sto dvacet tři milionů sto devadesát osm tisíc korun
/opt/shared_data/cpm_wav_cut/2014090217381752_0008.wav,1754924,a za třetí vrácení neprávem vyplacených částek může však služební úřad na státním zaměstnanci požadovat jen skrze státní zaměstnanec věděl nebo musel z okolností předpokládat že jde o částky nesprávně určené nebo omylem vyplacené a to ve lhůtě tří let od jejich výplaty
/opt/shared_data/cpm_wav_cut/2014061811081122_0013.wav,1941164,nastane problém že se vrátit závažné nemoci které byly považovány za vymýcené toto riziko samozřejmě roste v souvislosti s tím jak se tlačí běženci z afriky z dalších zemích stále blíž české republice a dostávají se do české republiky
/opt/shared_data/cpm_wav_cut/2014020609080922_0010.wav,4496684,v oblasti předávání osobních údajů smlouva reflektuje na skutečnost že česká republika je součástí českého prostoru proto do ní byla českou stranou prosazena důležitá úprava sdílení výpomocí předaných bosenskohercegovinskou stranou s dalšími členskými státy evropské unie respektive vše dětského prostoru v rámci veganské ho informačního systému a dalších databází dle ruského práva a to zásadně bez souhlasu druhé smluvní strany smlouva je z hlediska vnitrostátního právního řádu české republiky smlouvou takzvaně prezidentské kategorie která bude po vyslovení souhlasu a ratifikaci oběma komorami parlamentu předložena k ratifikaci prezidentu republiky
/opt/shared_data/cpm_wav_cut/2014021814281442_0050.wav,466604,jako kdyby se buď vytvářela nějaká nová etapa sebeurčení států a národů
/opt/shared_data/cpm_wav_cut/2013121909180932_0023.wav,933164,pan zpravodaj s tím nemá asi problém vám je problém samozřejmě že a dá to postupovat protože pan předseda stanjura
/opt/shared_data/cpm_wav_cut/2014012116581712_0032.wav,581804,děkuji panu poslanci poslední přihlášenou je paní poslankyně černochová prosím paní poslankyně
/opt/shared_data/cpm_wav_cut/2014062009380952_0064.wav,332204,že nechce tento problém radikálně řešit
/opt/shared_data/cpm_wav_cut/2014071711081122_0056.wav,332204,být ve svých daňových úvahách odvážnější
/opt/shared_data/cpm_wav_cut/2014050618381852_0014.wav,1610924,už třináct států se připojilo nebo už odhlasovalo tady tuto definici a tady tuto úpravu takže i česká republika protože my jsme ten kdo je součástí my jsme podepsali římský statut jsme tedy účastníkem této dohody
/opt/shared_data/cpm_wav_cut/2014031914581512_0012.wav,896684,hodlám navrhnout navrhnout zamítnutí předloženého návrhu a o si o zopakování toho na nohou a se tedy navrhnout zamítnutí v prvním čtení
/opt/shared_data/cpm_wav_cut/2014051416081622_0037.wav,230444,na veřejné finance živící
/opt/shared_data/cpm_wav_cut/2014091819482002_0035.wav,167084,ale my si přiznejme
/opt/shared_data/cpm_wav_cut/2014021212281242_0041.wav,485804,děkuji dalším přihlášeným je paní zpravodajka
/opt/shared_data/cpm_wav_cut/2014051415181532_0004.wav,2707244,asi stejně poté také oni se komunistické československo přihlásilo k mezinárodní úmluvě o dodržování lidských práv tím se přihlásilo nějakému to světovému proudu ale nemělo v úmyslu lidská práva dodržovat je to prostě pokrytectví na kterém se poslanci top nula devět podílet nemohou a nebudou budeli uplatněna výuka
/opt/shared_data/cpm_wav_cut/2014021311381152_0005.wav,2090924,takže my si myslíme že to na nás fungovalo my jsme absolvovali ty rozhovory my jsme dokázali nakonec vstoupit ale dneska mi připadá že je možná zjednodušená naše představa že podobný přístup může fungovat k těm zemím o kterých jsem tady mluvil které dneska jsou zmítány požáry u kterých si klademe otázku jak je zastavit protože cítíme že ty požáry jsou nesmírně nebezpečné
/opt/shared_data/cpm_wav_cut/2013112719582012_0014.wav,2626604,kdo jiný to takový a bude to blbě ale bude to po našem já přesto doporučuji to schválit ono to souvisí s rekodifikací a myslím si že volá dá zde k postoji senátu udělala maximum až příště budeme opět novelizovat daň z nabytí nemovitosti zkusme se třeba podívat a to k to mají jiné evropské země a jak je to nejkomfortnější pro poplatníka děkuji
/opt/shared_data/cpm_wav_cut/2014091015281542_0048.wav,412748,svou moc lid v demokracii zastupitelům jen propůjčuje a to dobrovolně
/opt/shared_data/cpm_wav_cut/2014091013381352_0087.wav,2683820,a to že ten zákon a spořit není na této vlády a tak dále já si myslím že věcně je to zcela v pořádku protože je to úplně jiná záležitost nejsou to slova opozičního politika jsou to slova koaličního politika a dokonce samotného předsedy vlády a teď si hrajeme na to a při na to se nám to víte své že to ta vláda vlastně udělala úplně špatně že ty návrhy neměly být dva ale měl by do
/opt/shared_data/cpm_wav_cut/2014021813281342_0058.wav,2173484,za které česká republika za posledních pětadvacet let poznala fáze kterou nazývám model sám sobě kmotrem fáze kdy na kmotry kteří lobbovali můžeme vzpomínat jako na nevinná nevinná koťátka protože tohle bude tygr sám šerchán a obávám se že pan premiér nebude mou
/opt/shared_data/cpm_wav_cut/2013112514181432_0054.wav,280364,pan poslanec david kasal
/opt/shared_data/cpm_wav_cut/2014021816581712_0001.wav,729644,ano vaše údajná podpora demokracie a základních lidských práv se již nyní
/opt/shared_data/cpm_wav_cut/2014091817281742_0036.wav,12400556,podle záchrana jednacím řádu sněmovny dále tu máme pana poslance bendla stanjuru kteří se vzdávají se interpelace následuj interpelaci číslo třicet sedm pana poslance ladislava šincla na pana ministra kultury daniela hermana ve věci problému z vlakových nádraží a vízové prosím pane poslanče máte slovo vážený pane ministře obracím se vás věci společného projektu českých drah a s a na vodního města havířova pod názvem dopravní terminál havířov realizace tohoto projektu je je znovu ohrožena opětovným zahájením správního řízení o prohlášení železničního nádraží za kulturní památku statutární město havířov bylo totiž patnáctého sedmi tohoto roku vzalo na pr a nově nově zahaluje jemu správnímu řízení přestože to kultury pravomocným rozhodnutím této věci již jednou v negativně rozhodlo spolurealizátor tohoto projektu české dráhy dospěl ke stejnému závěru jako město havířov v tom smyslu že zahájení správního řízení není odůvodněné a proto navrhuje toto řízení zastavit bohužel po dobu správního řízení než jim město havířov ani české dráhy v tomto projektu pokračovat a je vážně ohrožena realizace celého projektu hodnotě téměř dvě stě milionů korun tady projedná by spolufinancován z rozpočtu regionální rády onu soudržnosti morozovskobártovské mě to třicet pět milionů korun a musí být ukončena a proplacena do třicátého prvního vadách ty a tisíce patnáct kdy končí na milion operační pravda vážený pane ministře se totálně město havířov a rozumu že důvodu s tou zahajuji správního řízení vážná újma spočívající a doposud vynaložených nákladech na přípravu projektů od rok a tisíce deset ale strat finančních prostředků se ujedu tacet proto se vás chci zeptat zdali jste ochoten nejmladšímu městu české rep
/opt/shared_data/cpm_wav_cut/2014021114381452_0041.wav,178508,kdo je
/opt/shared_data/cpm_wav_cut/2014071609581012_0032.wav,739244,děkuji za slovo pane předsedající dámy a pánové mě mu ho k tomuto vystoupení projednávání této
/opt/shared_data/cpm_wav_cut/2014092512281242_0048.wav,186284,prosím pane ministře máte slovo
/opt/shared_data/cpm_wav_cut/2014071616281642_0001.wav,203564,dotyčný ale měl
/opt/shared_data/cpm_wav_cut/2014051419281942_0009.wav,1188524,chce někdo hlasovat o té proceduře tak jak ji navrhl pan zpravodaj nechce není námitka proti té proceduře budeme tedy hlasovat prosím pana zpravodaje aby za újmu zaujmu místo
/opt/shared_data/cpm_wav_cut/2014021409481002_0026.wav,19729868,děkuji za slovo vážený pane předsedající vážená vládo kolegyně a kolegové přijímám hezký páteční den já jsem kouření se vědoma toho že jsme ve třetím čtení a také jsem se emila že budu vystupovat ve třetím čtení znám jednací řád nicméně vystoupení mých předřečníků mě přece jenom nutí k tomu abych reagovala na některé věci které zde byly řečeny takže mi to prosím prosím promiňte co se týká toho co tady bylo řečeno a téma toho že můj pozměňovací návrh je přílepkem k tomuto návrhu zákona tak se zřejmě to si ti co to říkají možná úplně nevědí že máme tady otevřen zákon číslo čtyřicet osm obleženém zdravotním pojištění potíž a jeho součástí jsou právě regulační poplatky takže myslím si že mluvit o přílepku asi není plně na místě naopak přílepek bylo zavedení poplatků protože já mám to štěstí nebo možná posunuli že jsem u toho tehdy byla a moc dobře tiskoví nám na to jakým způsobem byly poplatky zavedeny že to byl přílepek k zákonu že to vlastně že to bylo předloženo ze dne na den že nebyla vůbec žádná možnost to projednat ve výboru takže městem chci že posoudit si které by se měly být připomenu já to tady také připomínala při své obhajobě a vlastně toho proč předkládám tento pozměňovací návrh protože to byl zákon o stabilizaci veřejných rozpočtů při kterém byly zavedeny takzvané regulační poplatky to bylo i byl jasný přílepek a ty k tomu bez možnosti projednání a ti těch málo z vás tří tady jste pamětníci tak že a pamětnice tak se to jistě pamatujete já vetem rozrušení se tady ten zákon a jak jsme tady byli jako opozice převálcováni vámi nevybíravým způsobem ve jedna věc a věc je že současně se zavedením poplatků byly také sníženy příjmy do veřejného zdravotního pojištění tedy byla vlastně ta solidarita snížena tím že se peníze z toho při z toho vlastně balíku veřejnou rodného pojištění vzaly a nahradily se příjmy z kapes pacientů a to ještě byly sice stanoveny ty takzvané sociální limity ale oni v tom prvním roce vůbec nezafungovaly protože byly postaveny tak vysoko pro tu určitou část pak pacientů že osm nebyly ani využity to se stalo teprve později když byly u části pacientů tyto sociální limity sníženy tak to jenom aby se plní a to se týká našeho zpochybňování ústavnosti tak přece nám je se se vzpomínáte tak tehdejší rozsudek ústavního soudu byl o tom že byl rozdíl pouze jediného hlasu
/opt/shared_data/cpm_wav_cut/2014071515281542_0007.wav,5093804,paní kolegyně kolegyně a pánové kolegové souvislosti se zákonem o odpadech se také hovoří čov toho bylo beck rozložitelných odpadech ty jsou obvykle využity do výstupů které mají a které hnojiva používaného zemědělství kontrolu nad kvalitou hnojiv provádí orgány ministerstva by nedoví a je tedy dobré aby orgány místo po zemědělci jsou podíleli také na panování podmínek při práci a vytváření těch tato nutně logicky odpovědných pohodlných odpadů v podrobné rozpravě navrhnu drobnou úpravu tak aby ministerstvo zemědělství se už podílelo popracovalo nad pod prováděcích právních předpisů k rase tikají nakládání s dobytka ho veto není odpady děkuji
/opt/shared_data/cpm_wav_cut/2013121909581012_0002.wav,1879724,dopravní situace ve vysokém mýtě což je opravdu malá částka takže to jsou priority pro nás velmi důležité hlavně samozřejmě platy učitelů a platy zaměstnanců sociální péče a aktivní politika zaměstnanosti jsou ty nejdůležitější věci které
/opt/shared_data/cpm_wav_cut/2014092510081022_0007.wav,6846764,děkuji za slovo vážený pane místopředsedo vážené kolegyně vážení kolegové já jenom krátce zareaguji ano ano pane kolego kováčiku prostřednictvím pana místopředsedy já samozřejmě vím o tom rozložení na ve společnosti slyšel jsem říct sice na číslo slyšel jsem sedmdesátpět procent lidí nesouhlasí s tím způsobem a na devadesát třicáté vy ale to číslo je předseda no ne tím jak ti lidé mají obec tělní informace ale jak se o tom v televizi jak se tomu v tisku jak se to bude na byl bod c a já jsem mobiliáře volební kampani před volbami do poslanecké sněmovně pokud jsou dáte téma pověsti se to téma na byl bořit dva se neděste pokud lidí má jednostranné informace že reagují tak jak reagují to bohužel tak to je řada těch lidi by ten formace nemá pokud se tady interpeluje říká se no celkem dostala majetek chci se ho města stará jestliže má být chudá tak ti lidi prostě tomu postupně postupně začínají věřit ale vy musíte říct
/opt/shared_data/cpm_wav_cut/2014091018081822_0003.wav,205484,pane poslanče máte slovo
/opt/shared_data/cpm_wav_cut/2014032614481502_0025.wav,1912364,nevím tedy také pokud se tady řešily i věci týkající se našeho na oko otec a kdy pera tak bylo řečeno že v podstatě kdy penisu výrazem státnosti je to to co tady říkám je samozřejmě jistým způsobem skákat ale jsem přestala ji že toto není ta hrozba které by se případný útočník zalekl
/opt/shared_data/cpm_wav_cut/2014032015181532_0013.wav,11550764,pane předsedající kolegyně kolegové pane poslanče dovolte abych vám poděkoval za vaši interpelaci ve věci učí ho řádu národního technického muzea a možné zápůjčky parní ozubnicové lokomotivy ze sbírek národního technického muzea železniční společnosti tanvald ten si plně vědom úsilí různých železničních spolků a jejich členů kteří napomáhají k záchraně železničních technických památek po celé republice těchto lidí jaký si samozřejmě hluboce vážím na druhou stranu musejí i tyto dobrovolnické aktivity mít však svá jasná a pevná pravidla neboť majetek české republiky kterým jsou vyživení vozit a národního technického muzea musí být dostatečně chráněn na základě zkušeností které mám muzeum z devadesátých let minulého století všechnu konstatovat že se o drzých spolků či institucí vrátili zapůjčené lokomotivy které muzea odvíjely celku v rozebraném a nekompletním stavu jedná se celkem o čtyři stroje zní připomenu alespoň lokomotiv více třicet čtyři mu dvacet sedm tak zvaný krajem a která byla vrácena muzeu v rozebraném a nekompletním stavu a to na třech vagonech v letech dva tisíce pět až sedm muzeu tuto lokomotiv rekonstruovalo dobu vodního ne provozního vystopovatelnou stavu a to za částku čtyři miliony tři sta čtyřicet sedm tisíc korun dále také nutné počítat s tím že při provozování stolcích kolových vozidel může dojít k vážné nehodě jak například dokládá nebo diskové ho blahu u jihlavy devětadvacátého července dva tisíce jedenáct při které byl vážně poškozen expo nad osobní vůz city nula pět devět pět a sedm říkala škola škoda milion šest set tisíc korun do dnešního dne vypůjčiteli tedy ani pod vatu lovech opravdu tohoto exponátů po nehodě stále nedokončil
/opt/shared_data/cpm_wav_cut/2014091618381852_0014.wav,8962604,prosím pan poslanče máte slovo to byly večer pane předsedající dobrý večer kolegyně a kolegové já jenom velmi málo odbočím protože téma se také týká ukrajiny a využil bych toho že máme tady dnes tuto schůzi a že je zde momentálně přítomen i ministr zahraničí pan lubomír zaorálek a chtěl bych se zeptat na to jak to tedy vlastně říkám mírně odbočím ale mírně jak je to s těmi volyňskými čechy protože jsme zaregistrovali to že proběhla informace že se obrátili dobu že se do toho vložil prezident zeman že na žádost kterou podali jak jsem se dočetl v médiích už v březnu nebylo dosud reagováno a já si dovolím pane ministře připomenout že sedmého květná jsem se tady v této poslanecké sněmovně vás dotazován na to jak je to s těmi volyňskými čechy jestli odpověděl jestli mají zájem nebo nemají zájem na návrat naší vlasti a přečtu vám s dovolením doslova vaši odpověď ze stenozáznamu cituji pana ministra zahraničí luboše zaorálka ze sedmého května tohoto roku já vám prostě říkám že to co jsme slyšeli od čechů žijících na ukrajině a co mi připadá důležité je že nám všichni dokonce velmi hlasitě říkají že nemají pocit že by jim cokoli hrozilo od ukrajinců mezi kterými žijí na to říkají velmi hlasitě a velmi jednoznačně že se necítí býti ohrožováni tím prostředím ukrajinci mezi kterými jsou tam není napětí mezi čechy a ukrajinci
/opt/shared_data/cpm_wav_cut/2014072509481002_0084.wav,65324,vím
/opt/shared_data/cpm_wav_cut/2014091615581612_0027.wav,854444,protože k daným datům kdy by ty zákony měly vstoupit v účinnost budou občané platit vyšší daně než dnes ještě právní řád předpokládá
/opt/shared_data/cpm_wav_cut/2014032513581412_0000.wav,8056364,vážené paní poslankyně vážení páni poslanci vážení členové vlády zahajuji další jednací den sedmé schůze poslanecké sněmovny a všechny vás vítám prosím abyste se všichni přihlásili identifikačními kartami a případně mi oznámili kdo žádá o vydání náhradní karty zatím žádnou informaci o náhradní kartě nemám já bych vám sdělit že o omluvení své neúčasti na jednání požádali tito poslankyně a poslanci pan poslanec andrle stav a do ve slova a pracovní důvody paní poslankyně jermanová pracovní důvody paní poslankyně nytrová zdravotní důvody paní poslankyně putnová pracovní důvody pan poslanec šarapatka zahraniční cesta pan poslanec štětina zdravotní důvody paní poslankyně wernerová zdravotní důvody ze členů vlády se omlouvají pan poslanec pan ministr aby souseda vlády bělobrádek zahraniční cesta pan ministr brabec do šestnácté hodiny z pracovních důvodů pan ministr chovanec ze zdravotních důvodů pan ministr i vyčká do šestnácti padesáti pěti z pracovních důvodů pan ministr němeček z pracovních důvodů pan ministr prachař z pracovních důvodů a pan ministr stropnický od patnácti hodin z pracovních důvodů
/opt/shared_data/cpm_wav_cut/2014021215281542_0024.wav,497324,že v tomto systému zaměstnanost a nezaměstnanost bude vždy problémem
/opt/shared_data/cpm_wav_cut/2014071712281242_0017.wav,387884,to že se vláda ani politici neodvážili
/opt/shared_data/cpm_wav_cut/2014050712081222_0003.wav,2054444,čech a na moravu v obou případech sami jedná o vámi nepotřebě ale a můžeme to tedy nazvat že po čelist by ví a taková ta vina oslavila již kvality ale prodávají se za cenu tak jako česká respektive má na kterých za tu vyšší za cenu
/opt/shared_data/cpm_wav_cut/2014061716081622_0013.wav,1107884,uvažoval jsem dámy a pánové jak využít pozitivní potenciál tohoto ne právě komfortně podaného pozměňovacího návrhu a udržet celou materii v legislativním procesu
/opt/shared_data/cpm_wav_cut/2014051320482102_0017.wav,282284,byla nezbytná k tomu aby zazněla
